id,prev_default,income,credit_age,intent,loan_amount,lti,grade,cleanlab_is_label_issue,cleanlab_label_issue_score,cleanlab_suggested_label,cleanlab_corrected_label,cleanlab_action,cleanlab_top_labels,cleanlab_top_probs,cleanlab_given_label_prob,cleanlab_predicted_label,cleanlab_predicted_label_prob,cleanlab_suggested_label_confidence_score,cleanlab_is_ambiguous,cleanlab_ambiguous_score,cleanlab_is_well_labeled,cleanlab_is_outlier,cleanlab_outlier_score,cleanlab_is_initially_unlabeled,cleanlab_has_rare_class
15,No,115000,4,EDUCATION,35000,30.434782608695656,A,True,0.8181772120296955,D,,unresolved,"[""D"", ""B"", ""F"", ""C""]","[0.6412734985351562, 0.2505095601081848, 0.06070574000477791, 0.042592115700244904]",0.0049190744757652,D,0.6412734985351562,0.6412734985351562,False,0.7044556435712723,False,False,,False,False
34,No,306000,3,DEBTCONSOLIDATION,24250,7.924836601307189,C,False,0.4154290556907654,,,,"[""C"", ""B"", ""D"", ""F"", ""A""]","[0.45318254828453064, 0.2840406596660614, 0.17522436380386353, 0.0655408427119255, 0.02201160043478012]",0.4531825482845306,C,0.4531825482845306,0.4531825482845306,False,0.8795860485774321,False,False,,False,False
46,No,300000,3,EDUCATION,25000,8.333333333333332,D,False,0.4848710596561432,,,,"[""D"", ""A"", ""B"", ""C"", ""F""]","[0.2905248999595642, 0.2602670192718506, 0.2420663982629776, 0.14813531935214996, 0.05900631844997406]",0.2905248999595642,D,0.2905248999595642,0.2905248999595642,False,0.98143129461645,False,False,,False,False
53,Yes,92004,3,PERSONAL,30000,32.60727794443719,A,True,0.8155736178159714,D,,unresolved,"[""D"", ""C"", ""F"", ""A""]","[0.6443361043930054, 0.17771650850772858, 0.16115698218345642, 0.013188868761062622]",0.0131888687610626,D,0.6443361043930054,0.6443361043930054,False,0.6710362506723493,False,False,,False,False
78,Yes,12000,4,PERSONAL,4200,35.0,C,False,0.2118652239441871,,,,"[""C"", ""D"", ""A"", ""F""]","[0.7521894574165344, 0.17591990530490875, 0.037234265357255936, 0.03251443803310394]",0.7521894574165344,C,0.7521894574165344,0.7521894574165344,False,0.6808885604011465,False,False,,False,False
80,Yes,83004,4,VENTURE,28000,33.733314057153876,D,False,0.1372783929109573,,,,"[""D"", ""F"", ""C"", ""A""]","[0.810788094997406, 0.08534488081932068, 0.08384761959314346, 0.015637297183275223]",0.810788094997406,D,0.810788094997406,0.810788094997406,False,0.5661325078372295,False,False,,False,False
89,Yes,12000,3,DEBTCONSOLIDATION,3250,27.083333333333332,F,False,0.3926932662725448,,,,"[""F"", ""C"", ""D"", ""A""]","[0.5056003928184509, 0.29098692536354065, 0.17118698358535767, 0.029421407729387283]",0.5056003928184509,F,0.5056003928184509,0.5056003928184509,False,0.6846587912883103,False,False,,False,False
92,Yes,73200,2,VENTURE,27050,36.95355191256831,D,False,0.4208598732948303,,,,"[""D"", ""F"", ""B"", ""C""]","[0.4725632071495056, 0.31428295373916626, 0.15133938193321228, 0.05364924296736717]",0.4725632071495056,D,0.4725632071495056,0.4725632071495056,False,0.7232042038764649,False,False,,False,False
131,No,44000,2,DEBTCONSOLIDATION,25000,56.81818181818182,D,False,0.3400087207555771,,,,"[""D"", ""B"", ""F"", ""C"", ""A""]","[0.5888978242874146, 0.2689152657985687, 0.10090763866901398, 0.029487455263733864, 0.011791841126978397]",0.5888978242874146,D,0.5888978242874146,0.5888978242874146,False,0.7230274240717379,False,False,,False,False
139,No,216000,3,EDUCATION,25000,11.574074074074074,D,False,0.419184535741806,,,,"[""D"", ""B"", ""C"", ""F"", ""A""]","[0.4996602237224579, 0.33802929520606995, 0.07932163774967194, 0.05125335231423378, 0.03173552826046944]",0.4996602237224579,D,0.4996602237224579,0.4996602237224579,False,0.8174991816327407,False,False,,False,False
